10000,1000.000,1000.000,1300.000,IP0
1,1042.709,954.833,1300.000,IP1
2,1074.735,901.063,1300.000,IP2
1000,1111.154,893.842,1300.000,A
1001,1172.462,881.685,1300.000,B
3,1197.793,876.662,1300.000,IP3
4,1241.836,956.691,1300.000,IP4
5,1297.545,983.827,1300.000,IP5
6,1360.625,966.434,1300.000,IP6
7,1401.366,972.701,1300.000,IP7
8,1438.915,985.496,1300.000,IP8
9,1452.572,1036.445,1300.000,IP9
10,1428.559,1051.406,1300.000,IP10
11,1380.582,1098.079,1300.000,IP11
200,1383.134,1110.494,1300.000,S1
2000,1384.413,1116.714,1300.000,C1
2001,1385.621,1122.591,1300.000,C2
201,1386.829,1128.468,1300.000,S2
12,1391.278,1150.107,1300.000,IP12
13,1380.400,1162.249,1300.000,IP13
